ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11061926,JA399909,8/21/17 8:00,083XX S COTTAGE GROVE AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,GAS STATION,FALSE,FALSE,632,6,8,44,7,1183009,1849965,2017,8/28/17 15:54,41.74350386,-87.60501807,"(41.743503863, -87.60501807)"
11062071,JA400154,8/21/17 2:04,064XX W CORTLAND ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2513,25,36,25,6,1132848,1911932,2017,8/28/17 15:54,41.9145696,-87.78737135,"(41.914569598, -87.787371347)"
11062072,JA400139,8/21/17 10:00,001XX N DEARBORN ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,111,1,42,32,6,1175908,1901610,2017,8/28/17 15:54,41.88538438,-87.62948651,"(41.885384381, -87.629486511)"
11062098,JA400199,8/21/17 12:30,008XX N CICERO AVE,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,1111,11,37,25,08A,1144207,1904963,2017,8/28/17 15:54,41.8952399,-87.74581479,"(41.895239896, -87.745814792)"
11062144,JA400188,8/21/17 11:30,049XX W 63RD ST,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,813,8,13,64,08B,1144368,1862369,2017,8/28/17 15:54,41.77835289,-87.74629262,"(41.778352885, -87.746292622)"
11062266,JA400319,8/21/17 9:00,056XX W BELMONT AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1633,16,38,15,6,1138058,1920707,2017,8/28/17 15:54,41.93855656,-87.76801769,"(41.938556557, -87.768017693)"
11062517,JA400375,8/21/17 14:00,111XX S LANGLEY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,531,5,9,50,7,1182902,1831328,2017,8/28/17 15:54,41.69236415,-87.60598702,"(41.692364149, -87.605987023)"
11062563,JA400827,8/21/17 0:00,046XX N CLARENDON AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1914,19,46,3,6,1170072,1931206,2017,8/28/17 15:54,41.96672659,-87.65005116,"(41.966726591, -87.65005116)"
11063165,JA401239,8/21/17 9:00,076XX S HALSTED ST,051A,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,FALSE,FALSE,621,6,17,71,04A,1172288,1854297,2017,8/28/17 15:54,41.75563372,-87.64417322,"(41.755633717, -87.644173224)"
11063171,JA401321,8/21/17 23:55,008XX N CICERO AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,1111,11,37,25,7,1144207,1904963,2017,8/28/17 15:54,41.8952399,-87.74581479,"(41.895239896, -87.745814792)"
11063173,JA401317,8/21/17 13:15,013XX S CLINTON ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,124,1,2,28,6,1172924,1894302,2017,8/28/17 15:54,41.86539738,-87.64066078,"(41.865397377, -87.640660777)"
11063247,JA401313,8/21/17 18:00,017XX W 48TH ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,931,9,20,61,6,1165391,1872868,2017,8/28/17 15:54,41.80674376,-87.66892322,"(41.806743757, -87.668923223)"
11063275,JA401168,8/21/17 20:00,036XX S RACINE AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,912,9,11,60,6,1168945,1880812,2017,8/28/17 15:54,41.82846678,-87.65565853,"(41.828466783, -87.655658534)"
11063356,JA401461,8/21/17 18:00,001XX W KINZIE ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1831,18,42,8,6,1175310,1902997,2017,8/28/17 15:54,41.88920383,-87.6316408,"(41.889203826, -87.631640804)"
11063524,JA399855,8/21/17 6:45,081XX S STONY ISLAND AVE,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,411,4,8,45,08B,1188340,1851428,2017,8/28/17 15:54,41.747393,-87.58543861,"(41.747393001, -87.585438607)"
11065663,JA404027,8/21/17 21:00,054XX N MULLIGAN AVE,810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1622,16,45,11,6,1132912,1935739,2017,8/28/17 15:54,41.97989747,-87.78657828,"(41.979897472, -87.786578279)"
11066001,JA404342,8/21/17 12:00,013XX S CLINTON ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,124,1,2,28,6,1172924,1894302,2017,8/28/17 15:54,41.86539738,-87.64066078,"(41.865397377, -87.640660777)"
11066809,JA405431,8/21/17 9:00,064XX N RAVENSWOOD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2432,24,40,1,7,1163189,1942733,2017,8/28/17 15:54,41.99850492,-87.67503311,"(41.99850492, -87.675033106)"
11062799,JA401026,8/22/17 0:00,0000X N WESTERN AVE,560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,TRUE,1223,12,2,28,08A,1160407,1900202,2017,8/29/17 15:56,41.88185548,-87.68644786,"(41.881855477, -87.686447862)"
11062933,JA401139,8/22/17 1:30,054XX S NASHVILLE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,811,8,23,56,7,1133307,1867719,2017,8/29/17 15:56,41.79323433,-87.78671904,"(41.79323433, -87.786719037)"
11063225,JA401195,8/22/17 5:17,052XX S LAKE PARK AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,234,2,4,41,7,1187633,1870769,2017,8/29/17 15:56,41.80048316,-87.58741453,"(41.800483161, -87.587414531)"
11063285,JA401433,8/22/17 9:50,079XX S LAFAYETTE AVE,810,THEFT,OVER $500,GAS STATION,FALSE,FALSE,623,6,17,44,6,1177312,1852570,2017,8/29/17 15:56,41.75078272,-87.62581362,"(41.750782715, -87.625813624)"
11063388,JA401263,8/22/17 9:15,002XX W 31ST ST,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,915,9,11,34,08A,1175287,1884420,2017,8/29/17 15:56,41.8382278,-87.63228237,"(41.838227796, -87.632282365)"
